DY
100
9
c0;c1;c2;c3;c4;c5;c6;c7;c8;
T09_10.jpg; 0.0407210700378; 3.49052408854; 1.0; 0.00693755695737; 0.396380208333; 24.9211197917; 0.159270651944; 1.0; 9
T24_40.jpg; 0.202717395474; 27.7490299479; 1.0; 0.0729228603698; 3.29987304688; 17.2805989583; 0.0455635135863; 1.0; 24
T15_10.jpg; 0.116227193241; 24.7335709635; 1.0; 0.0320139280674; 2.96192708333; 16.8405729167; 0.14507310151; 1.0; 15
T20_40.jpg; 1.00785979185; 24.5549772135; 1.0; 0.458390407041; 3.37728841146; 4.90734375; 0.207107607757; 1.0; 20
T10_30.jpg; 0.0256806585332; 2.35676432292; 1.0; 0.00183566943377; 0.267900390625; 28.03796875; 0.120894838481; 1.0; 10
T02_40.jpg; 0.0262004935535; 2.95457682292; 1.0; 0.00197155701106; 0.3314453125; 28.5764322917; 0.0759828430176; 1.0; 2
T17_10.jpg; 0.0262674392621; 1.09637044271; 1.0; 0.00177151867922; 0.115234375; 26.90421875; 0.0954372291565; 1.0; 17
T09_30.jpg; 0.0271467683365; 2.67419921875; 1.0; 0.00198120975452; 0.29583984375; 27.76453125; 0.103471261745; 1.0; 9
T02_30.jpg; 0.023335862783; 3.15495117187; 1.0; 0.00200315675634; 0.354046223958; 30.7270052083; 0.0783545646244; 1.0; 2
T05_30.jpg; 0.0242019775907; 7.11106119792; 1.0; 0.0018429685341; 0.708251953125; 29.7419791667; 0.116970047167; 1.0; 5
T08_10.jpg; 0.0470478743558; 7.21504882813; 1.0; 0.00919162693852; 0.823834635417; 25.6928125; 0.0747242392222; 1.0; 8
T08_20.jpg; 0.0336627583123; 4.96552734375; 1.0; 0.00500821792383; 0.535042317708; 28.0896354167; 0.065175259569; 1.0; 8
T20_10.jpg; 1.17577216889; 25.659781901; 1.0; 0.54241066884; 3.40357421875; 3.79614583333; 0.281955710899; 1.0; 20
T13_10.jpg; 0.0194248534211; 1.97421223958; 1.0; 0.00175916901372; 0.208951822917; 32.9984375; 0.137937179926; 1.0; 13
T13_20.jpg; 0.0199813664025; 1.92781901042; 1.0; 0.00265481533154; 0.213264973958; 34.3590104167; 0.18670732761; 1.0; 13
T12_40.jpg; 0.0279444519871; 3.50476236979; 1.0; 0.00294195701649; 0.364075520833; 28.5295572917; 0.0697672391891; 1.0; 12
T07_10.jpg; 0.0327670575826; 4.72341796875; 1.0; 0.0024877001322; 0.54177734375; 24.6997135417; 0.106108757718; 1.0; 7
T24_10.jpg; 0.491742131115; 23.9743554688; 1.0; 0.215383023883; 2.96182617188; 15.1336458333; 0.0817461750878; 1.0; 24
