DY
100
8
c0;c1;c2;c3;c4;c5;c6;c7;
T04_372314.jpg; 0.999985811293; 2.10991954592; 6.66738855798; 265.476147293; 5.56407609919; 0.0248025836602; 155.834633137; 4
T01_2045.jpg; 0.998949166187; 1.45967015056; 7.52542704751; 30.8322113988; 4.78029963908; 0.00655286616976; 49.9459459459; 1
T05_3253.jpg; 0.999883633839; 1.11582128112; 7.14606414789; 92.696081717; 2.75882807132; 0.0104707726782; 101.37802107; 5
T03_2998.jpg; 0.999998583466; 1.06420011941; 5.91089350015; 840.206671724; 2.18036646143; 0.0764152365392; 590.307702265; 3
T05_3237.jpg; 0.998603382665; -0.0352500897828; 7.32363019377; 26.7397783032; 2.35413925298; 0.00702520033269; 67.2943939868; 5
T04_372298.jpg; 0.999989975026; 1.21581701542; 6.3051166308; 315.832049903; 2.74551174221; 0.0465184444994; 220.404390038; 4
T05_3184.jpg; 0.999318866165; 0.735019171573; 7.38109585941; 38.303266861; 2.05228292385; 0.0069870848694; 68.3686254471; 5
T05_3166.jpg; 0.998670468384; 0.903572180517; 7.44041740853; 27.4070169994; 4.18532574229; 0.00647203902383; 61.3290417898; 5
T01_1891.jpg; 0.999524502694; 0.262429174627; 7.04921926705; 45.8482424726; 1.49359025813; 0.00894581873186; 84.7705783031; 1
T05_3195.jpg; 0.999953621458; 2.56483441223; 7.0271730325; 146.835607821; 9.14597110904; 0.0124726066223; 122.0444558; 5
T03_3028.jpg; 0.999995204245; 1.60872727535; 6.68180219655; 456.636345012; 3.78545903626; 0.0369821818242; 278.069025136; 3
T01_2538.jpg; 0.999914046464; 1.90616211479; 7.20847007421; 107.857279198; 5.81907360369; 0.0113076456311; 93.175; 1
T04_372307.jpg; 0.99938816104; 1.0558831669; 7.30090556871; 40.4155540034; 3.35152492056; 0.00803619172079; 60.4241255486; 4
T02_2166.jpg; 0.998365836031; 0.243719086435; 7.38021410278; 24.7170730002; 2.55324586105; 0.00741817743844; 45.8443365696; 2
T05_3146.jpg; 0.99980869102; 0.798958133252; 7.00229954113; 72.292089247; 2.23279391628; 0.0103007783331; 98.671155653; 5
T04_372297.jpg; 0.999961416463; 1.67027829573; 6.91760280419; 160.986924238; 4.85867645321; 0.0166594819912; 128.694498382; 4
T01_2544.jpg; 0.999992220131; 2.02734523552; 7.13034744532; 358.518987449; 5.28444609815; 0.0238566780579; 194.121789357; 1
T05_3170.jpg; 0.995501270018; -0.0377138556201; 7.42976234564; 14.8756497961; 3.8635243086; 0.00604885087937; 57.3189109329; 5
T04_372312.jpg; 0.99979463897; 1.08124166424; 7.22678936255; 69.7744440562; 2.7979217841; 0.0106930970906; 72.6916740218; 4
T05_3167.jpg; 0.999931345215; 1.00547154688; 6.84020841152; 120.683996739; 3.24033496624; 0.0140523187058; 133.159772056; 5
T05_3171.jpg; 0.999951960348; 2.09885211586; 6.98187058771; 144.274520714; 6.43075922695; 0.0128901107652; 123.47437102; 5
T03_3024.jpg; 0.999995233912; 1.25448179121; 6.19683220709; 458.055307322; 2.95373595883; 0.0421646513644; 338.750809061; 3
T05_3151.jpg; 0.999354661869; -0.0625807139025; 7.00991477036; 39.3519409464; 1.90803327784; 0.0090039998966; 88.1041389882; 5
T05_3187.jpg; 0.999020743754; 0.365501650823; 7.26322936722; 31.9403063927; 2.04708720838; 0.00730110724936; 70.6893203883; 5
T01_2044.jpg; 0.99941824037; 2.86357292385; 7.68725627775; 41.4478345226; 11.5861943987; 0.00592902267855; 50.6872148789; 1
T02_2170.jpg; 0.999623174703; 1.87269463853; 7.12344462971; 51.5048507759; 7.39659007426; 0.00938748578892; 67.6837725381; 2
T03_3049.jpg; 0.999992988378; 0.795673794222; 6.48901584422; 377.649779635; 1.79997716129; 0.0395904052412; 301.758068748; 3
T03_2986.jpg; 0.999990152292; 1.06267973443; 6.17324071846; 318.661999497; 2.35178646967; 0.036454570628; 255.327812678; 3
T05_3244.jpg; 0.999088051619; 0.947220841532; 7.3317437835; 33.0991433844; 3.24509146617; 0.00688551670709; 73.7576549664; 5
T03_3048.jpg; 0.999981294761; 1.22258864901; 6.60719617368; 231.214097891; 3.29438004912; 0.0240620827104; 195.793167015; 3
